Date,Symbol,Sector,Close,Open,High,Low,Volume,Turnover_Cr,Daily_Return,MA_20,MA_50,MA_200,Volatility_20d,RSI,52W_High,52W_Low,PE_Ratio,Dividend_Yield,Market_Cap_Cr,Year,Month,Quarter
2023-01-02,TCS,IT,3219.48,3223.57,3242.05,3208.47,6966810954,2242950.85,,,,,,,,,31.2,1.8,1177122,2023,1,2023Q1
2023-01-03,TCS,IT,3215.84,3219.63,3223.68,3175.67,3988851947,1282750.96,-0.0011,,,,,,,,31.2,1.8,1175792,2023,1,2023Q1
2023-01-04,TCS,IT,3240.96,3208.81,3245.18,3173.39,2494097039,808326.87,0.0078,,,,,,,,31.2,1.8,1184976,2023,1,2023Q1
2023-01-05,TCS,IT,3298.85,3226.04,3299.94,3214.03,5572949718,1838432.52,0.0179,,,,,,,,31.2,1.8,1206142,2023,1,2023Q1
2023-01-06,TCS,IT,3291.54,3307.88,3322.4,3283.94,5812752117,1913290.61,-0.0022,,,,,,,,31.2,1.8,1203469,2023,1,2023Q1
2023-01-09,TCS,IT,3284.25,3296.47,3311.8,3256.16,2929915358,962257.45,-0.0022,,,,,,,,31.2,1.8,1200804,2023,1,2023Q1
2023-01-10,TCS,IT,3345.05,3306.8,3345.76,3259.53,5937640752,1986170.52,0.0185,,,,,,,,31.2,1.8,1223034,2023,1,2023Q1
2023-01-11,TCS,IT,3375.76,3334.57,3391.21,3303.7,2476473108,835997.89,0.0092,,,,,,,,31.2,1.8,1234262,2023,1,2023Q1
2023-01-12,TCS,IT,3359.3,3373.64,3375.93,3324.72,3540660624,1189414.12,-0.0049,,,,,,,,31.2,1.8,1228244,2023,1,2023Q1
2023-01-13,TCS,IT,3381.51,3358.0,3415.14,3353.55,4350077390,1470983.02,0.0066,,,,,,,,31.2,1.8,1236365,2023,1,2023Q1
2023-01-16,TCS,IT,3365.25,3391.55,3417.64,3346.96,4839833087,1628724.83,-0.0048,,,,,,,,31.2,1.8,1230420,2023,1,2023Q1
2023-01-17,TCS,IT,3348.99,3360.13,3382.46,3338.89,4460453160,1493801.3,-0.0048,,,,,,,,31.2,1.8,1224474,2023,1,2023Q1
2023-01-18,TCS,IT,3359.66,3337.22,3397.09,3327.89,2768099134,929987.19,0.0032,,,,,,,,31.2,1.8,1228376,2023,1,2023Q1
2023-01-19,TCS,IT,3288.99,3371.83,3403.53,3257.42,5648207636,1857689.84,-0.021,,,,,,,,31.2,1.8,1202537,2023,1,2023Q1
2023-01-20,TCS,IT,3226.7,3285.87,3291.97,3219.16,3071837081,991189.67,-0.0189,,,,,50.89,,,31.2,1.8,1179762,2023,1,2023Q1
2023-01-23,TCS,IT,3207.59,3235.21,3266.35,3203.66,2459543493,788920.71,-0.0059,,,,,49.02,,,31.2,1.8,1172775,2023,1,2023Q1
2023-01-24,TCS,IT,3172.35,3214.92,3215.08,3146.51,2477674598,786005.1,-0.011,,,,,42.08,,,31.2,1.8,1159890,2023,1,2023Q1
2023-01-25,TCS,IT,3185.06,3172.07,3224.87,3171.71,8623436212,2746616.17,0.004,,,,,35.34,,,31.2,1.8,1164538,2023,1,2023Q1
2023-01-26,TCS,IT,3153.81,3183.39,3199.14,3114.04,2255784323,711431.52,-0.0098,,,,,33.28,,,31.2,1.8,1153112,2023,1,2023Q1
2023-01-27,TCS,IT,3105.06,3150.11,3155.34,3096.28,6235801101,1936253.66,-0.0155,3271.3,,,,30.24,,,31.2,1.8,1135288,2023,1,2023Q1
2023-01-30,TCS,IT,3158.48,3104.92,3174.36,3098.56,1852907624,585237.17,0.0172,3268.25,,,0.01154,29.08,,,31.2,1.8,1154819,2023,1,2023Q1
2023-01-31,TCS,IT,3151.78,3166.66,3198.82,3117.23,4172194534,1314983.93,-0.0021,3265.05,,,0.01154,23.46,,,31.2,1.8,1152370,2023,1,2023Q1
